Sequence,charge at pH =7,Molecular Weight,Hydrophobicity,Isoelectric Point,Instability Index,MEC_reduced cysteines,MEC_disulfid bridges
1,10.750832711976635,17749.53639999999,-0.14787878787878764,9.873800468444824,18.701818181818187,0,125
2,5.6403339251112055,21796.118899999998,1.06980198019802,9.386226081848143,33.47029702970298,23950,24200
3,2.6814552844248656,22524.994900000005,1.0009900990099014,9.29783992767334,38.753514851485136,9970,9970
4,3.6920469745582416,22615.1605,0.987623762376238,9.69096813201904,41.72232673267327,9970,9970
5,3.680456283425867,22493.039200000007,1.0242574257425745,9.51316432952881,37.590643564356434,9970,9970
6,2.691478034464721,22542.000600000003,0.9871287128712876,9.450823402404787,40.030742574257424,9970,9970
7,2.7776632216203065,22616.0395,0.916666666666667,9.394671440124512,34.73779411764704,9970,9970
8,11.708420256229836,22050.50400000001,0.9242574257425747,9.933369255065916,30.87772277227722,20970,21220
9,2.6804662833258686,22470.022300000004,1.0321782178217824,9.248586082458495,39.07727722772276,9970,9970
10,8.615778262124916,22256.49800000001,0.9805970149253737,9.693288993835449,35.95174129353233,33460,33835
11,7.702962450279505,22281.57030000001,1.0014925373134334,9.540821266174316,37.657711442786066,33460,33835
12,6.702972450179506,22232.51620000001,1.023383084577115,9.38242244720459,41.515422885572136,33460,33835
13,7.790136638534093,22396.768500000013,1.0094527363184085,9.540885734558106,37.927363184079596,33460,33835
14,3.68157704436571,22603.1087,0.9406862745098042,9.51316432952881,31.1931862745098,8480,8480
15,0.6840892052742866,22771.018299999992,0.8397058823529412,7.86683521270752,41.85745098039216,12950,12950
16,1.5683562306902115,22614.054900000006,1.0465346534653468,8.459815406799319,48.32782178217821,14440,14565
17,8.826230858442676,8864.349899999992,-0.3382716049382714,10.117039680480957,27.065432098765427,2980,2980
18,2.6743064189859282,10060.810200000002,0.019780219780219793,9.250262260437012,31.419780219780208,6990,6990
19,12.771596031237909,17994.830199999993,-0.20179640718562858,10.083451652526854,28.173652694610777,1490,1490
20,-11.668126047531178,24415.60300000001,-0.3115207373271891,5.212101554870604,46.124884792626716,20400,20900
21,-6.053605248058645,39470.712700000026,-0.23267045454545485,5.603437995910644,50.38244318181817,38390,38765
22,-6.060249954487006,39809.11480000003,-0.25312500000000027,5.598549842834472,50.054034090909084,45380,45755
23,-5.749628401314936,40655.78390000004,-0.5078873239436617,5.8621122360229485,52.46199999999999,35410,35535
24,-6.148423143740601,39777.06950000003,-0.24829545454545485,5.508914756774902,49.11227272727273,46870,47245
25,-39.10257767841607,105402.13670000064,-0.23643083421330482,4.8146265029907225,54.43653643083451,77810,78435
26,-7.1330619140559115,16992.251399999986,-0.12380952380952379,5.086771583557128,38.36530612244898,7450,7575
27,-7.143653604189286,16933.166099999988,-0.14761904761904765,5.073130226135253,41.019727891156464,5960,6085
28,-7.141963903155922,16904.167999999983,-0.1190476190476191,5.086771583557128,42.50476190476191,5960,6085
29,-7.1320629130569095,16888.10239999998,-0.1510204081632653,5.086771583557128,43.01768707482994,5960,6085
30,-7.141963903155922,16977.218699999983,-0.16462585034013602,5.086771583557128,43.814965986394554,5960,6085
31,-7.221235103309496,16990.232199999984,-0.1272108843537415,4.976106071472167,37.852380952380955,8940,9065
32,-7.141963903155922,16917.166699999987,-0.1306122448979592,5.086771583557128,42.50476190476191,5960,6085
33,-5.978052576800131,18115.698800000006,0.013924050632911276,5.4674791336059565,46.82417721518986,13410,13535
34,-6.066225766053716,18141.732700000004,0.02594936708860749,5.327484703063964,47.77544303797467,14900,15025
35,-6.736543707043374,46014.20790000005,-0.01904761904761907,5.7918592453002935,51.36214285714286,24870,25370
36,-8.731735243072158,45966.01290000007,-0.03000000000000002,5.582009696960449,49.14190476190476,23380,23880
37,-8.730055541938796,46126.22850000006,-0.02666666666666667,5.586045265197753,48.41214285714284,24870,25370
38,-9.525695894167953,46056.14030000008,-0.03842482100238663,5.621853828430175,51.983054892601444,28880,29255
39,11.76851493023581,17813.51249999999,-0.23333333333333325,10.091252326965332,25.986060606060605,1490,1490
40,13.943742507338776,17873.746499999994,-0.19024390243902423,10.220511436462402,28.29024390243901,1490,1490
41,10.771325392209022,17787.471999999994,-0.21636363636363629,9.998482322692869,22.113939393939386,1490,1490
42,10.771325392209022,17800.47069999999,-0.23515151515151506,9.998482322692869,26.638787878787877,1490,1490
43,10.932684015381344,17676.46239999999,-0.19636363636363627,9.841824150085447,14.20060606060605,1490,1615
44,10.859200280397975,17767.50859999999,-0.23272727272727264,9.955352973937988,20.325454545454534,1490,1490
45,10.770336391110025,17789.484599999992,-0.21515151515151507,9.955352973937988,22.35878787878787,1490,1490
46,12.010814454795074,17861.77859999999,-0.17134146341463397,9.926084327697755,28.171341463414613,1490,1615
47,11.749833710977637,17817.739499999992,-0.10242424242424222,9.925310707092283,18.758181818181814,0,125
48,12.685532604023162,18121.928299999996,-0.25209580838323337,10.082420158386228,26.67305389221557,1490,1490
49,13.854960756520285,17979.758899999997,-0.2915151515151513,10.120005226135252,20.00545454545454,2980,2980
50,10.750832711976635,17729.52509999999,-0.10242424242424218,9.873800468444824,19.43818181818182,0,125
